id,question,answer,wrong1,wrong2,wrong3,difficulty,type,reveal
cr036,The Krak des Chevaliers one of the greatest medieval castles was held by which military order?,Knights Hospitaller,Knights Templar,Teutonic Knights,Order of St Lazarus,2,fact,The Knights Hospitaller! Krak des Chevaliers in modern Syria was their greatest stronghold and never fell to direct assault!
cr037,At which battle in 1191 did Richard I defeat Saladin's army while marching south along the coast?,Battle of Arsuf,Battle of Jaffa,Battle of Hattin,Battle of Dorylaeum,2,location,The Battle of Arsuf! Richard's disciplined march and devastating cavalry charge routed Saladin's forces in eleven ninety-one!
cr038,Which Italian city-state financed and transported the Fourth Crusade and profited enormously from the outcome?,Venice,Genoa,Pisa,Amalfi,2,fact,Venice! The city-state financed the Fourth Crusade then strategically redirected it to destroy its trade rival Constantinople!
cr039,King Baldwin IV ruled Jerusalem despite suffering from which debilitating illness?,Leprosy,Blindness,Paralysis,Plague,2,person,Baldwin the Fourth the Leper King! Despite his illness he defeated Saladin at Montgisard in eleven seventy-seven!
cr040,Holy Roman Emperor Frederick II led the Sixth Crusade in an unusual situation. What was it?,He was excommunicated by the Pope,He refused to use violence,He had allied with Saladin's heirs,He was leading a rival army against the Pope,2,event,Frederick the Second led the Sixth Crusade while excommunicated outraging the Pope yet still recovering Jerusalem!
cr041,What was unique about the Fourth Crusade compared to all other major Crusades?,It never reached the Holy Land,It captured Jerusalem for the third time,It was led entirely by non-nobles,It used only mercenary forces,2,event,The Fourth Crusade never reached the Holy Land! It sacked Christian Zara then the great city of Constantinople!
cr042,The Teutonic Knights were founded as a hospital order during the siege of which city?,Acre,Jerusalem,Antioch,Damietta,2,fact,Acre! German pilgrims founded the Teutonic Knights as a hospital order during the brutal Siege of Acre in eleven ninety!
cr043,Which Venetian Doge masterminded the diversion of the Fourth Crusade toward Constantinople?,Enrico Dandolo,Andrea Dandolo,Pietro Ziani,Sebastiano Ziani,2,person,Enrico Dandolo! The aged Doge of Venice was nearly blind but masterminded the entire diversion of the Fourth Crusade!
cr044,The Fourth Crusade established a new empire in Constantinople. What was it called?,Latin Empire of Constantinople,Crusader State of Byzantium,Kingdom of the East,Holy Empire of Rome in the East,2,event,The Latin Empire of Constantinople! It was established in twelve-oh-four and lasted until twelve sixty-one!
cr045,Conrad III of Germany co-led the Second Crusade alongside which French king?,Louis VII,Philip II,Louis IX,Charles V,2,person,Conrad the Third and Louis the Seventh! The two monarchs led a doomed effort that collapsed at Damascus!
cr046,Philip II of France abandoned the Third Crusade and returned home after which city was recaptured?,Acre,Jaffa,Tyre,Jerusalem,2,location,Acre! Philip the Second left for France soon after Acre fell in eleven ninety-one leaving Richard to fight on alone!
cr047,Which knight founded the County of Tripoli around 1102 as the last of the four Crusader states?,Raymond IV of Toulouse,Bohemond of Taranto,Tancred of Hauteville,Hugh of Payns,2,person,Raymond the Fourth of Toulouse! He founded the County of Tripoli around eleven-oh-two the last of the four Crusader states!
cr048,Godfrey of Bouillon refused the title King of Jerusalem. What title did he take instead?,Advocate of the Holy Sepulchre,Guardian of the Holy City,Protector of Pilgrims,Lord of the Holy Land,2,fact,Godfrey refused to be King in Christ's city! He took the title Advocate of the Holy Sepulchre instead!
cr049,Which Byzantine emperor's appeal for help against the Seljuk Turks inadvertently launched the First Crusade?,Alexios I Komnenos,Manuel I Komnenos,John II Komnenos,Constantine XI,2,person,Alexios the First Komnenos! He asked only for mercenaries to fight the Seljuks but got a full crusade instead!
cr050,Muslim ruler Zengi who captured Edessa in 1144 was succeeded by which more famous ruler?,Nur ad-Din,Saladin,Baybars,Al-Kamil,2,person,Nur ad-Din! Zengi's son unified the Muslim world further and his successor Saladin would finally reconquer Jerusalem!
cr051,Pope Clement V dissolved the Knights Templar in 1312. What fate befell their last Grand Master Jacques de Molay?,He was burned at the stake,He was imprisoned for life,He escaped to Cyprus,He was quietly exiled,3,person,Jacques de Molay! The last Grand Master of the Knights Templar was burned at the stake in Paris in thirteen fourteen!
cr052,The Albigensian Crusade targeted the Cathar heresy in which region of southern France?,Languedoc,Normandy,Burgundy,Provence,3,location,Languedoc! The Albigensian Crusade devastated this region massacring entire towns suspected of the Cathar heresy!
cr053,Saladin was the founder of which Islamic dynasty that ruled Egypt and Syria?,Ayyubid dynasty,Mamluk dynasty,Fatimid dynasty,Seljuk dynasty,3,fact,The Ayyubid dynasty! Saladin founded it in eleven seventy-one and it ruled Egypt and Syria through the Crusade era!
cr054,Which Crusade failed when its papal legate Cardinal Pelagius rejected Sultan Al-Kamil's peace offer?,Fifth Crusade,Sixth Crusade,Seventh Crusade,Fourth Crusade,3,event,The Fifth Crusade! Cardinal Pelagius rejected a generous peace offer and marched into the Nile flood losing everything!
cr055,The Northern Crusades primarily targeted pagan peoples in which region?,The Baltic,Scandinavia,North Africa,The Balkans,3,location,The Baltic! Crusades against pagan Prussians Latvians and Lithuanians led to centuries of German expansion in the north!
cr056,In what year did the Livonian Brothers of the Sword merge with the Teutonic Knights?,1237,1225,1250,1191,3,date,Twelve thirty-seven! The Livonian Brothers merged with the Teutonic Knights expanding Teutonic power across the Baltic!
cr057,Pope Gregory IX excommunicated Frederick II before the Sixth Crusade. Why was Frederick excommunicated?,He repeatedly postponed his crusade,He allied with the Sultan of Egypt,He refused to acknowledge papal authority,He raised taxes against the Church,3,event,Frederick kept delaying his crusade! Pope Gregory the Ninth excommunicated him in twelve twenty-seven and Frederick went anyway!
cr058,At the Battle of Montgisard in 1177 the Leper King Baldwin IV defeated Saladin. How large was Saladin's force compared to Baldwin's?,Saladin had vastly more troops,Both armies were roughly equal,Baldwin had the larger force,Saladin had fewer troops but better cavalry,3,event,Saladin vastly outnumbered Baldwin! The Leper King led fewer than five hundred knights to a stunning victory at Montgisard!
cr059,The 1229 treaty that restored Jerusalem to Christian control without fighting was named what?,Second Treaty of Jaffa,Treaty of San Germano,Treaty of Damietta,Treaty of Acre,3,fact,The Second Treaty of Jaffa! Frederick the Second negotiated Jerusalem back from Al-Kamil in twelve twenty-nine without a battle!
cr060,Saladin's opponents at the Battle of Hattin were led by which King of Jerusalem?,Guy of Lusignan,Raymond III of Tripoli,Balian of Ibelin,Conrad of Montferrat,3,person,Guy of Lusignan! The King was warned not to march into waterless terrain but led his army to destruction at Hattin!
cr061,The Seventh Crusade was launched partly because Jerusalem was lost again in 1244. To which invaders did it fall?,Khwarazmian Turks,Mongols,Mamluks,Seljuk Turks,3,event,The Khwarazmian Turks! These displaced warriors sacked Jerusalem in twelve forty-four ending the last period of Christian control!
cr062,Which Crusader city in Anatolia was captured by the First Crusade in June 1097 opening the road south?,Nicaea,Dorylaeum,Iconium,Tarsus,3,location,Nicaea! The Crusaders captured the Seljuk capital in Anatolia in June ten ninety-seven opening the route to Antioch!
cr063,Who led the Muslim relief army that besieged the Crusaders inside Antioch in June 1098?,Kerbogha of Mosul,Saladin,Zengi,Kilij Arslan I,3,person,Kerbogha of Mosul! He trapped the Crusaders inside Antioch but the discovery of the Holy Lance rallied them to victory!
cr064,The Cathars targeted by the Albigensian Crusade held which core belief?,Matter is evil and spirit is divine,Rejection of all violence,Christ was not resurrected,The Pope has no authority over Christians,3,fact,Dualism! The Cathars believed matter was evil and spirit divine a belief the Church called heresy and crushed mercilessly!
cr065,The Teutonic Knights' Baltic campaigns eventually led to the Christianization of which last pagan people in Europe?,Lithuanians,Hungarians,Poles,Bulgarians,3,fact,The Lithuanians! The Teutonic Knights fought a long crusade against the Lithuanians the very last pagan people in medieval Europe!
cr066,What debt forced the Fourth Crusade to attack the Christian city of Zara on Venice's demand?,The cost of the Venetian fleet,The loss of trade privileges,A ransom debt to Byzantium,Unpaid tithes to the Pope,3,event,The fleet cost! The Crusaders owed Venice for ships and had no money so they sacked Zara a rival port instead!
cr067,Who led the charismatic People's Crusade ahead of the main First Crusade in 1096?,Peter the Hermit,Walter Sans-Avoir,Bernard of Clairvaux,Fulcher of Chartres,3,person,Peter the Hermit! He led tens of thousands of poor pilgrims toward the Holy Land before the main army even departed!
cr068,In what year did Frederick II's diplomatically recovered Jerusalem fall back to Muslim control?,1244,1229,1250,1238,3,date,Twelve forty-four! Jerusalem held under the twelve twenty-nine treaty fell again to the Khwarazmian Turks after just fifteen years!
cr069,In what year did the Fifth Crusade finally collapse with Crusaders forced to surrender Damietta?,1221,1219,1225,1217,3,date,Twelve twenty-one! The Fifth Crusade collapsed when Crusaders surrendered Damietta back to Egypt after being trapped in the floods!
cr070,Which Mamluk Sultan defeated the Mongols at the Battle of Ain Jalut in 1260 saving the Islamic world?,Baybars,Qalawun,Al-Ashraf Khalil,Al-Kamil,3,person,Baybars! His victory at Ain Jalut in twelve sixty was the first major Mongol defeat and saved the Muslim world!
cr071,After losing the Holy Land in 1291 the Knights Hospitaller established their new headquarters on which island?,Rhodes,Cyprus,Malta,Crete,3,location,Rhodes! After losing the Holy Land the Knights Hospitaller captured Rhodes in thirteen-oh-six and made it their base!
cr072,The Rhineland massacres that preceded the First Crusade targeted which community?,Jewish communities,Muslim merchants,Eastern Christian communities,Pagan tribespeople,3,event,Jewish communities! Crusader bands massacred Jewish people in Speyer Worms and Mainz before departing for the Holy Land!
cr073,Pope Clement V dissolved the Knights Templar in 1312. What happened to most of their property?,It was transferred to the Knights Hospitaller,It was seized by the French crown,It was distributed to local bishops,It was returned to the Holy Land,3,event,The Knights Hospitaller! The Pope ordered most Templar property transferred to them consolidating crusading power!
cr074,Frederick II's recovery of Jerusalem in 1229 without fighting outraged which two powerful groups?,The Pope and the Knights Templar,Saladin's heirs and the Mamluks,The King of France and the Hospitallers,The Byzantine Emperor and the Venetians,3,event,The Pope and the Templars! Both were furious that the excommunicated Emperor had recovered Jerusalem without their blessing!
cr075,The Crusader army at the Battle of Hattin was lured into marching without water to relieve which nearby siege?,Tiberias,Nablus,Jaffa,Ascalon,3,location,Tiberias! Saladin besieged the city knowing the Crusaders would have to march through waterless terrain to relieve it!
