code,country,capital,difficulty,reveal
cz,Czech Republic,Prague,2,"Prague! The City of a Hundred Spires and capital of the Czech Republic!"
be,Belgium,Brussels,2,"Brussels! Capital of Belgium and the unofficial capital of the European Union!"
ph,Philippines,Manila,2,"Manila! Not the largest city in the Philippines by area, but its historic capital!"
cl,Chile,Santiago,2,"Santiago! Capital of the world's longest country, nestled in a valley between the Andes and sea!"
co,Colombia,Bogotá,2,"Bogotá! One of the world's highest capital cities, over two thousand five hundred metres up!"
ke,Kenya,Nairobi,2,"Nairobi! The only capital city in the world with a national park right on its doorstep!"
ma,Morocco,Rabat,2,"Rabat! Not Casablanca! Morocco's capital sits on the Atlantic coast!"
mm,Myanmar,Naypyidaw,2,"Naypyidaw! Not Yangon! Myanmar built this brand new capital in complete secrecy and revealed it in two thousand and six!"
bo,Bolivia,Sucre,2,"Sucre! Bolivia has two capitals. Sucre is the constitutional one; La Paz is the seat of government!"
is,Iceland,Reykjavik,3,"Reykjavik! The world's northernmost capital of a sovereign state, powered almost entirely by geothermal energy!"
lu,Luxembourg,Luxembourg City,3,"Luxembourg City! The tiny capital of tiny Luxembourg, one of Europe's smallest and wealthiest countries!"
ee,Estonia,Tallinn,3,"Tallinn! One of the best-preserved medieval old towns in Europe, capital of Estonia!"
lv,Latvia,Riga,3,"Riga! The largest city in the Baltic states and capital of Latvia!"
lt,Lithuania,Vilnius,3,"Vilnius! Lithuania's baroque capital tucked in the green hills of the country's east!"
li,Liechtenstein,Vaduz,3,"Vaduz! The tiny capital of tiny Liechtenstein, a principality sitting on the Rhine!"
mt,Malta,Valletta,3,"Valletta! The smallest capital city in the European Union, built by the Knights of Malta!"
cy,Cyprus,Nicosia,3,"Nicosia! The world's last divided capital city, split between Greek and Turkish sides!"
ge,Georgia,Tbilisi,3,"Tbilisi! Named after its hot sulphur springs, the ancient capital of Georgia in the Caucasus!"
az,Azerbaijan,Baku,3,"Baku! The oil city on the Caspian Sea and capital of Azerbaijan!"
am,Armenia,Yerevan,3,"Yerevan! One of the world's oldest continuously inhabited cities and capital of Armenia!"
mn,Mongolia,Ulaanbaatar,3,"Ulaanbaatar! The coldest capital city on Earth and home of the descendants of Genghis Khan!"
np,Nepal,Kathmandu,3,"Kathmandu! Gateway to Mount Everest and the ancient capital of Nepal!"
bt,Bhutan,Thimphu,3,"Thimphu! One of only two capital cities in the world that has no traffic lights!"
mv,Maldives,Malé,3,"Malé! One of the most densely populated cities on Earth and capital of the Maldives!"
fj,Fiji,Suva,3,"Suva! The largest city in the South Pacific island nations and capital of Fiji!"
pg,Papua New Guinea,Port Moresby,3,"Port Moresby! Capital of the land of the unexpected, Papua New Guinea!"
la,Laos,Vientiane,3,"Vientiane! One of the world's most laid-back capital cities, on the banks of the Mekong!"
kh,Cambodia,Phnom Penh,3,"Phnom Penh! The Pearl of Asia, capital of Cambodia and home of the Royal Palace!"
uy,Uruguay,Montevideo,3,"Montevideo! The southernmost capital city in South America, on the Río de la Plata!"
py,Paraguay,Asunción,3,"Asunción! One of the oldest cities in South America and capital of Paraguay!"
sm,San Marino,San Marino,3,"San Marino! The world's oldest republic and the only country whose capital shares its name!"
ad,Andorra,Andorra la Vella,3,"Andorra la Vella! The highest capital city in Europe, over a thousand metres above sea level!"
mc,Monaco,Monaco,3,"Monaco! The tiny principality's capital is essentially the entire country itself!"
ie,Ireland,Dublin,3,"Dublin! Fair city on the banks of the River Liffey and capital of Ireland!"
