code,breed_name,difficulty,image_url,question_type,fact,reveal
ir-set,Irish Setter,2,https://commons.wikimedia.org/wiki/Special:FilePath/Irish_setter.jpg,image,,"Once bred in white and red to be spotted by hunters — the solid mahogany coat came later!"
pe-corgi,Pembroke Welsh Corgi,2,https://commons.wikimedia.org/wiki/Special:FilePath/Corgi_g2.jpg,image,,"Queen Elizabeth the Second owned over thirty Corgis during her reign!"
min-schn,Miniature Schnauzer,2,https://commons.wikimedia.org/wiki/Special:FilePath/Miniature_Schnauzer.jpg,image,,"Created by crossing Standard Schnauzers with Poodles and Affenpinschers in nineteenth century Germany!"
whip,Whippet,2,https://commons.wikimedia.org/wiki/Special:FilePath/Whippet1.jpg,image,,"The fastest dog relative to their size — reaching fifty-six kilometres per hour in just a few strides!"
samoy,Samoyed,2,https://commons.wikimedia.org/wiki/Special:FilePath/Samoyed_dog.jpg,image,,"Bred by the Samoyedic people of Siberia — their permanent smile prevents icicles forming on their face!"
ridgeb,Rhodesian Ridgeback,2,https://commons.wikimedia.org/wiki/Special:FilePath/Rhodesian_Ridgeback.jpg,image,,"Bred by Boer settlers to track and corner lions — never to fight them directly!"
vizsla,Vizsla,2,,fact,"Hungary's national dog and one of the few breeds that can point and retrieve with equal skill","Vizsla! Hungary's golden rust dog has been a prized hunting companion since medieval times!"
base,Basenji,2,,fact,"The only domestic dog that cannot bark — instead makes a unique yodelling sound called a barroo","Basenji! The barkless dog from Central Africa communicates with yodels and howls!"
newf,Newfoundland,2,,fact,"Bred by Canadian fishermen as water rescue dogs with webbed feet and a waterproof double coat","Newfoundland! They have webbed feet and instinctively swim towards drowning people!"
keesh,Keeshond,2,,fact,"The national dog of the Netherlands named after Dutch patriot Kees de Gyselaar","Keeshond! Named after an eighteenth century Dutch revolutionary and his famous dog!"
nor-elk,Norwegian Elkhound,2,,fact,"One of the oldest breeds on Earth dating back ten thousand years and used by Vikings for hunting","Norwegian Elkhound! Remains of this exact breed have been found in Viking burial sites!"
canaan,Canaan Dog,2,,fact,"Israel's national dog — a semi-wild breed that survived alone in the Negev desert for two thousand years","Canaan Dog! They lived as wild dogs in the Middle East for millennia before being domesticated again!"
soft-wh,Soft-Coated Wheaten Terrier,2,,fact,"An Irish all-purpose farm dog that worked as herder guard and vermin hunter for centuries","Wheaten Terrier! Ireland's oldest terrier was the poor farmer's dog that did every job on the farm!"
leon,Leonberger,2,,fact,"Created in the city of Leonberg Germany specifically to look like the lion on the town's coat of arms","Leonberger! Bred in the eighteen thirties to be a lion lookalike for a German mayor's vanity project!"
britt,Brittany Spaniel,2,,fact,"Named after the French province of Brittany — a versatile gun dog that points and retrieves with equal skill","Brittany! French hunters developed them as a compact all-in-one sporting dog for varied terrain!"
aus-cat,Australian Cattle Dog,2,,fact,"Developed by crossing European cattle dogs with Dingoes to create a dog tough enough for the Australian outback","Australian Cattle Dog! Their Dingo ancestry gives them their incredible stamina and independence!"
entl,Entlebucher Mountain Dog,2,,fact,"The smallest of Switzerland's four mountain dog breeds originally used to drive cattle in alpine pastures","Entlebucher! The rarest of Switzerland's mountain dogs nearly disappeared in the twentieth century!"
dutch-sh,Dutch Shepherd,2,,fact,"A versatile Dutch herding and working dog nearly driven to extinction during World War Two","Dutch Shepherd! Nearly went extinct when breeding stopped during the Nazi occupation!"
kooik,Kooikerhondje,3,https://commons.wikimedia.org/wiki/Special:FilePath/Kooikerhondje.jpg,image,,"A Dutch duck-hunting breed that lured ducks into traps using its feathery tail as bait!"
affen,Affenpinscher,3,https://commons.wikimedia.org/wiki/Special:FilePath/Affenpinscher01.jpg,image,,"German name means monkey terrier — bred in central Europe to clear rats from kitchens and stables!"
bergam,Bergamasco Shepherd,3,https://commons.wikimedia.org/wiki/Special:FilePath/Bergamasco.jpg,image,,"Their distinctive matted coat forms naturally and protects them from wolves and harsh weather!"
catah,Catahoula Leopard Dog,3,https://commons.wikimedia.org/wiki/Special:FilePath/Catahoula_Leopard_Dog.jpg,image,,"Louisiana's state dog — the only breed native to North America developed entirely by Native Americans!"
pumi,Pumi,3,https://commons.wikimedia.org/wiki/Special:FilePath/Pumi_Portrait.jpg,image,,"A Hungarian herding breed with corkscrew curls and a habit of running rings around its flock!"
otterh,Otterhound,3,https://commons.wikimedia.org/wiki/Special:FilePath/Otterhound.jpg,image,,"Critically endangered with fewer dogs alive today than giant pandas — bred to hunt otters in England!"
bracco,Bracco Italiano,3,https://commons.wikimedia.org/wiki/Special:FilePath/Bracco_Italiano.jpg,image,,"One of the oldest pointing breeds in the world — documented in Italian paintings since the fifth century!"
dogo-arg,Dogo Argentino,3,https://commons.wikimedia.org/wiki/Special:FilePath/Dogo_Argentino.jpg,image,,"Developed in Argentina in the nineteen twenties specifically for hunting wild boar in packs!"
tib-mast,Tibetan Mastiff,3,https://commons.wikimedia.org/wiki/Special:FilePath/TibetanMastiff1.jpg,image,,"One of the most expensive breeds ever sold — a red puppy sold in China for one point five million dollars!"
komondor,Komondor,3,https://commons.wikimedia.org/wiki/Special:FilePath/Komondor_delvin.jpg,image,,"Their iconic dreadlock coat grows naturally and was designed to blend in with the sheep they guard!"
lowch,Löwchen,3,https://commons.wikimedia.org/wiki/Special:FilePath/Lowchen.jpg,image,,"German name means little lion — ladies in medieval courts kept them as portable hot water bottles!"
sloughi,Sloughi,3,https://commons.wikimedia.org/wiki/Special:FilePath/Sloughi_Karima.jpg,image,,"An ancient North African sighthound used by Berber tribespeople to hunt gazelle and hare!"
mudi,Mudi,3,https://commons.wikimedia.org/wiki/Special:FilePath/Mudi_herding.jpg,image,,"A rare Hungarian herding dog so versatile it can herd pigs as effectively as sheep!"
fila-braz,Fila Brasileiro,3,https://commons.wikimedia.org/wiki/Special:FilePath/Fila_Brasileiro.jpg,image,,"Brazil's national dog once used by plantation owners and so loyal their motto is faithfulness of the Fila!"
plott,Plott Hound,3,https://commons.wikimedia.org/wiki/Special:FilePath/Plott_Hound.jpg,image,,"North Carolina's state dog — brought to America in seventeen fifty by a single German family!"
ped-inc,Peruvian Inca Orchid,3,,fact,"An ancient Peruvian hairless breed documented in pre-Inca pottery dating back over three thousand years","Peruvian Inca Orchid! An ancient hairless breed documented in pre-Inca pottery!"
azawakh,Azawakh,3,,fact,"A West African sighthound bred by nomadic Tuareg tribes to hunt gazelle at speed across the Sahara","Azawakh! A Tuareg desert sighthound that can run as fast as a Greyhound in extreme heat!"
xolo,Xoloitzcuintli,3,,fact,"One of the world's oldest breeds — sacred to the Aztecs who believed it guided souls through the underworld","Xoloitzcuintli! An ancient Aztec breed sacred as a guide for the dead!"
thai-ridg,Thai Ridgeback,3,,fact,"Only one of three breeds in the world with a distinctive ridge of fur growing in the opposite direction","Thai Ridgeback! Just three breeds have the reverse-fur ridge — this is one of them!"
lagotto,Lagotto Romagnolo,3,,fact,"The only officially recognised truffle-hunting breed — originally from the marshlands of Romagna in Italy","Lagotto Romagnolo! The world's only officially certified truffle-hunting dog!"
cirneco,Cirneco dell'Etna,3,,fact,"An ancient Sicilian breed that has hunted rabbits on the volcanic slopes of Mount Etna for three thousand years","Cirneco dell'Etna! Unchanged for three thousand years on the slopes of Mount Etna!"
finn-sp,Finnish Spitz,3,,fact,"Finland's national dog — nicknamed the barking bird dog for the distinctive ringing bark it uses to signal prey","Finnish Spitz! Finland's national dog barks up to one hundred and sixty times a minute!"
chinook,Chinook,3,,fact,"America's rarest breed — created in New Hampshire in the nineteen twenties by Arthur Walden as a sled dog","Chinook! Once the rarest dog in the world with only eleven breeding individuals left in nineteen eighty-one!"
harrier,Harrier,3,,fact,"One of England's oldest scent hound breeds used in packs to hunt hares for over eight hundred years","Harrier! An ancient English pack hound so similar to a Beagle that only experts tell them apart!"
nor-lund,Norwegian Lundehund,3,,fact,"The only dog with six toes on each foot and the ability to fold its ears shut — bred to hunt puffins on cliffs","Norwegian Lundehund! Six toes per foot and can tilt its head one hundred and eighty degrees!"
